date,yield10,infl_exp,vix,bond_long_ret,tips_ret,eq_ret,vol_hedge_ret
2013-06-30,3.36,1.556,30.35,0.00725,0.01104,-0.04379,-0.03101
2013-07-31,3.218,1.631,30.66,-0.009,0.01084,0.03481,-0.00436
2013-08-31,3.148,1.723,31.63,-0.0039,0.01663,-0.05251,0.03795
2013-09-30,3.055,1.75,32.16,0.00189,0.00016,0.0506,-0.08754
2013-10-31,2.97,1.788,29.85,-0.00505,-0.00295,-0.04222,0.10454
2013-11-30,2.977,1.754,27.42,0.01161,0.00763,0.02301,0.02219
2013-12-31,2.959,1.721,25.37,0.01369,-0.00135,0.01924,0.03463
2014-01-31,2.977,1.699,25.31,0.01505,-0.02097,-0.01216,0.02193
2014-02-28,3.016,1.652,25.86,0.0047,-0.0109,0.0072,-0.00662
2014-03-31,2.91,1.551,18.28,0.01209,0.00265,-0.02524,-0.14661
2014-04-30,3.088,1.555,11.13,0.00322,-0.01507,0.00259,0.08653
2014-05-31,2.919,1.718,16.38,0.0172,-0.00559,-0.03688,-0.02228
2014-06-30,2.792,1.771,19.13,0.00108,-0.00716,0.09828,-0.02115
2014-07-31,2.867,1.813,17.24,-0.03038,-0.00703,0.05106,-0.08934
2014-08-31,2.816,1.749,13.55,0.01361,-0.00151,-0.03886,-0.09634
2014-09-30,2.801,1.855,12.94,-0.00479,0.00783,-0.00596,0.09989
2014-10-31,2.883,1.902,16.96,-0.0006,0.00907,-0.0499,0.0676
2014-11-30,2.89,1.875,18.82,-0.00174,0.01264,-0.06243,0.07059
2014-12-31,3.094,1.802,20.61,-0.00697,-0.01983,-0.02584,-0.02131
2015-01-31,3.201,1.776,24.04,-0.0054,0.00377,0.07516,0.01654
2015-02-28,3.184,1.856,21.73,0.00273,-0.00959,0.04189,-0.12973
