date,regime,eq_ret,yield10,bond_gov_ret,rf,alt_pe_ret,alt_pe_rep_ret,cpi
1993-07-31,1,-0.15,2.287,0.03153,0.00149,-0.11757,-0.02702,0.0028
1993-08-31,0,0.00272,2.479,-0.0114,0.00165,0.02416,-0.00911,0.00508
1993-09-30,0,0.0139,2.146,0.02514,0.00137,0.02854,0.00407,0.00202
1993-10-31,0,0.00934,2.205,-0.00234,0.00142,0.02054,0.00984,0.00682
1993-11-30,0,0.01313,2.348,-0.00804,0.00154,-0.0002,0.00632,-0.00052
1993-12-31,0,0.00833,2.45,-0.00505,0.00162,0.02722,0.01364,0.00232
1994-01-31,0,0.02886,2.481,-0.00011,0.00165,0.04891,0.02598,-0.00067
1994-02-28,0,-0.00541,2.237,0.01892,0.00145,-0.00898,0.01374,0.0034
1994-03-31,0,-0.03029,2.168,0.00661,0.00139,-0.0273,-0.00062,0.00216
1994-04-30,0,-0.01446,2.157,0.00263,0.00138,-0.02237,-0.00823,0.00158
1994-05-31,0,-0.01833,2.19,-0.00053,0.00141,-0.02538,-0.01423,0.00115
1994-06-30,0,-0.01812,2.224,-0.00049,0.00144,-0.0318,-0.02038,0.00249
1994-07-31,0,0.00568,2.674,-0.02926,0.00181,0.02887,-0.00315,-0.00123
1994-08-31,0,0.0042,2.68,0.00177,0.00182,0.02068,0.00519,-4e-05
1994-09-30,0,0.04333,2.696,0.0011,0.00183,0.06283,0.02537,-0.00055
1994-10-31,0,0.02045,2.594,0.00933,0.00175,0.05868,0.03703,0.00014
1994-11-30,0,0.0332,2.584,0.00286,0.00174,0.02577,0.03309,-0.00014
1994-12-31,0,-0.01766,2.51,0.00726,0.00168,-0.0041,0.02007,0.0039
1995-01-31,0,-0.02929,2.726,-0.01286,0.00186,-0.04639,-0.00319,0.00027
1995-02-28,0,0.00504,2.86,-0.007,0.00197,0.00469,-0.00043,-0.00042
1995-03-31,0,0.00315,2.734,0.01112,0.00186,0.02442,0.00827,-8e-05
1995-04-30,0,0.03819,2.937,-0.01177,0.00203,0.02433,0.01389,0.00113
1995-05-31,0,0.02402,3.076,-0.00713,0.00215,0.05996,0.03001,-0.00038
1995-06-30,0,0.00065,3.074,0.00269,0.00214,0.00183,0.02015,6e-05
1995-07-31,0,-0.03361,3.316,-0.01418,0.00235,-0.03876,-0.00047,0.00148
1995-08-31,0,0.05283,3.568,-0.01469,0.00256,0.04807,0.01652,0.00171
1995-09-30,0,0.01493,3.505,0.00735,0.0025,0.02108,0.01812,0.00148
1995-10-31,0,-0.00957,3.533,0.00095,0.00253,0.00546,0.01369,0.00372
1995-11-30,0,0.03002,3.369,0.01431,0.00239,0.01211,0.01313,0.00349
1995-12-31,0,-0.01869,3.158,0.01739,0.00222,-0.0189,0.00192,0.00097
1996-01-31,0,0.02028,3.149,0.00331,0.00221,0.01627,0.00695,0.00094
1996-02-29,0,-0.04507,3.221,-0.0024,0.00227,-0.05486,-0.01469,-0.0006
1996-03-31,0,0.03804,3.375,-0.00792,0.0024,0.04615,0.00661,0.00363
1996-04-30,0,-0.01266,3.378,0.00259,0.0024,-0.0149,-0.00092,0.00152
1996-05-31,0,-0.0004,3.394,0.00172,0.00241,0.00524,0.00124,0.00374
1996-06-30,0,0.03937,3.534,-0.00691,0.00253,0.0123,0.00511,0.00222
1996-07-31,0,-0.02694,3.86,-0.01954,0.0028,-0.02377,-0.005,0.00398
1996-08-31,0,0.0482,3.982,-0.00524,0.0029,0.06534,0.01962,0.00475
1996-09-30,0,0.00469,4.058,-0.00196,0.00297,-0.02499,0.00401,0.00206
1996-10-31,0,0.04343,4.368,-0.01803,0.00322,0.0526,0.02101,0.00251
1996-11-30,0,0.0098,4.384,0.00249,0.00324,-0.00255,0.01276,0.0053
1996-12-31,0,0.01914,4.421,0.00114,0.00327,0.00975,0.01171,0.00613
1997-01-31,0,-0.02829,4.335,0.00962,0.0032,-0.02827,-0.00228,0.00175
1997-02-28,0,-0.01757,4.151,0.01629,0.00304,0.01722,0.00454,0.00327
1997-03-31,0,0.0436,4.306,-0.00722,0.00317,0.05178,0.02108,0.00175
1997-04-30,0,0.03841,4.535,-0.01227,0.00336,0.03994,0.02768,0.0029
1997-05-31,0,0.02428,4.721,-0.00912,0.00352,0.03101,0.02884,0.0022
1997-06-30,0,0.02542,4.728,0.00352,0.00352,0.01488,0.02396,-0.00092
1997-07-31,0,0.0147,4.555,0.0159,0.00338,0.01985,0.02252,-0.00019
1997-08-31,0,-0.00596,4.598,0.00077,0.00342,0.02303,0.0227,-0.00066
1997-09-30,0,-0.00312,4.657,-0.00022,0.00346,0.02712,0.02425,0.00289
1997-10-31,0,0.02895,4.628,0.0059,0.00344,0.04426,0.03125,-0.00057
1997-11-30,0,-0.01862,4.638,0.00311,0.00345,-0.01197,0.01612,0.00506
1997-12-31,0,0.01615,4.646,0.00336,0.00345,0.01603,0.01609,0.00072
1998-01-31,0,0.01344,4.454,0.01716,0.00329,0.02075,0.01772,0.00343
1998-02-28,0,0.00321,4.501,0.00047,0.00333,0.00242,0.01237,0.00221
1998-03-31,0,-0.00847,4.729,-0.01206,0.00352,0.04008,0.02207,0.00084
1998-04-30,0,0.02008,4.674,0.00778,0.00348,0.04364,0.02962,0.00425
1998-05-31,0,-0.03169,4.631,0.00684,0.00344,-0.05598,-0.00034,0.0021
1998-06-30,0,-0.03375,4.652,0.00239,0.00346,-0.00952,-0.00355,0.00449
1998-07-31,0,-0.0193,4.495,0.01474,0.00333,-0.01551,-0.00774,0.00025
1998-08-31,0,0.04808,4.722,-0.01195,0.00352,0.05003,0.01248,0.0019
1998-09-30,0,-0.04962,4.755,0.00165,0.00355,-0.03286,-0.00339,0.00744
1998-10-31,0,0.0255,5.032,-0.01517,0.00378,0.01859,0.0043,-0.0003
1998-11-30,0,-0.03099,4.86,0.01608,0.00363,-0.01911,-0.00389,0.00278
1998-12-31,1,-0.03896,4.876,0.00291,0.00365,-0.06054,-0.02372,0.00394
1999-01-31,1,-0.00188,4.856,0.00551,0.00363,0.0073,-0.01286,0.00237
1999-02-28,1,-0.04988,4.846,0.00471,0.00362,-0.04276,-0.02332,0.00176
1999-03-31,0,-0.05858,4.812,0.00637,0.00359,-0.03714,-0.02816,0.00301
1999-04-30,0,0.00034,4.982,-0.0077,0.00373,0.01016,-0.01475,0.00232
1999-05-31,0,-0.04598,4.722,0.02211,0.00352,-0.03144,-0.02059,0.00161
1999-06-30,0,0.02436,4.734,0.00308,0.00353,0.05512,0.00591,0.00032
1999-07-31,0,0.0322,4.823,-0.00219,0.0036,0.05014,0.02139,0.00065
1999-08-31,0,0.02565,4.771,0.00762,0.00356,-0.01134,0.00993,0.00176
1999-09-30,0,-0.01409,4.737,0.00637,0.00353,0.00689,0.00887,0.00057
1999-10-31,0,0.00832,4.828,-0.00236,0.00361,0.04011,0.0198,0.0014
1999-11-30,0,0.01562,4.543,0.0237,0.00337,0.01942,0.01967,0.00018
1999-12-31,0,-0.01022,4.836,-0.01643,0.00361,-0.00508,0.011,-0.00061
2000-01-31,0,0.00323,4.926,-0.00219,0.00369,-0.03447,-0.00491,0.00117
2000-02-29,0,-0.00457,5.029,-0.00304,0.00377,-0.03997,-0.01718,0.00067
2000-03-31,0,0.01651,5.215,-0.00866,0.00393,0.0285,-0.00119,0.00218
2000-04-30,0,-0.00048,4.823,0.03145,0.0036,-0.00629,-0.00298,0.00252
2000-05-31,0,0.01904,4.967,-0.00595,0.00372,-0.01959,-0.00879,0.00161
2000-06-30,0,0.02408,4.725,0.02086,0.00352,0.02565,0.00326,-0.00128
2000-07-31,0,-0.01138,4.492,0.02009,0.00333,-0.00635,-0.0001,0.00148
2000-08-31,0,0.01614,4.404,0.00977,0.00325,0.01841,0.00638,0.00305
2000-09-30,0,0.04214,4.382,0.00521,0.00324,0.06175,0.02576,0.00217
2000-10-31,0,0.01686,4.394,0.00282,0.00325,-0.02321,0.00862,0.00182
2000-11-30,0,0.00187,4.427,0.00139,0.00327,0.00785,0.00835,0.00229
2000-12-31,0,0.0296,4.504,-0.00165,0.00334,0.03254,0.01682,0.00066
2001-01-31,0,0.06367,4.491,0.00464,0.00333,0.1067,0.04828,-0.00059
2001-02-28,0,0.01154,4.205,0.02356,0.00309,0.01683,0.03727,-0.00096
2001-03-31,0,0.03054,4.217,0.00263,0.0031,0.03491,0.03645,0.00075
2001-04-30,0,-0.04846,4.411,-0.00986,0.00326,-0.02376,0.01537,-0.00385
2001-05-31,0,0.04612,4.496,-0.00219,0.00333,0.06895,0.03413,0.00047
2001-06-30,0,0.01134,4.58,-0.00207,0.0034,0.03315,0.03378,0.00156
2001-07-31,0,-0.00108,4.485,0.01034,0.00332,0.00124,0.02239,0.00022
2001-08-31,0,-0.01978,4.282,0.01781,0.00315,-0.03217,0.0033,-0.00181
2001-09-30,0,0.04368,4.259,0.00514,0.00313,0.08447,0.03171,0.00236
2001-10-31,0,0.05893,4.46,-0.01031,0.0033,0.08636,0.05084,0.00261
2001-11-30,0,0.01661,4.146,0.02543,0.00304,0.01144,0.03705,0.00079
2001-12-31,0,0.01178,3.923,0.01882,0.00285,0.00861,0.02709,0.00042
2002-01-31,0,0.02045,3.587,0.02654,0.00257,0.03098,0.02845,0.00362
2002-02-28,0,0.00291,3.461,0.01169,0.00247,-0.00305,0.01743,-7e-05
2002-03-31,0,0.00895,3.475,0.00196,0.00248,0.00257,0.01223,0.00314
2002-04-30,0,-0.00355,3.711,-0.01343,0.00268,0.0385,0.02142,0.0016
2002-05-31,0,-0.04208,3.651,0.00721,0.00263,-0.02746,0.00431,-0.00059
2002-06-30,0,0.05395,3.859,-0.01134,0.0028,0.0438,0.01813,0.00131
2002-07-31,0,0.01901,3.76,0.01011,0.00272,0.06237,0.03361,0.00282
2002-08-31,0,-0.00444,3.647,0.0109,0.00262,-0.01011,0.01831,0.00283
2002-09-30,0,-0.01311,3.791,-0.00688,0.00274,0.0016,0.01246,0.00197
2002-10-31,0,-0.01397,3.905,-0.00478,0.00284,-0.03344,-0.0036,-0.00149
2002-11-30,1,-0.00906,3.737,0.01491,0.0027,-0.02489,-0.01106,0.00416
2002-12-31,1,0.03186,3.718,0.00442,0.00268,-0.00556,-0.00913,0.00159
2003-01-31,1,-0.0058,3.635,0.00886,0.00261,0.03341,0.00576,-0.00076
2003-02-28,0,0.05332,3.794,-0.00798,0.00274,0.03449,0.01581,0.00014
2003-03-31,0,0.02759,3.988,-0.01024,0.00291,0.03355,0.02202,0.00058
2003-04-30,0,0.0386,4.145,-0.00757,0.00304,0.03983,0.02825,0.00259
2003-05-31,0,-0.00137,4.069,0.00871,0.00297,0.03301,0.02992,-0.00063
2003-06-30,0,0.00019,4.515,-0.02745,0.00335,0.03878,0.03302,-0.0
2003-07-31,0,0.00104,4.327,0.01679,0.00319,-0.04741,0.00487,0.00044
2003-08-31,0,-0.00467,4.475,-0.00666,0.00331,-0.01491,-0.00205,0.00293
2003-09-30,0,-0.01093,4.309,0.01523,0.00317,-0.01085,-0.00513,-0.00127
2003-10-31,0,-0.01274,4.297,0.00438,0.00316,0.06122,0.01809,0.00263
2003-11-30,0,-0.0191,4.407,-0.004,0.00326,-0.01983,0.00482,0.00492
2003-12-31,0,-0.00466,4.743,-0.01954,0.00354,0.01355,0.00788,0.00439
2004-01-31,1,-0.03772,4.355,0.03073,0.00321,-0.02094,-0.00221,0.00216
2004-02-29,0,-0.01705,4.15,0.01781,0.00304,-0.02181,-0.00907,0.00116
2004-03-31,0,-0.00383,4.014,0.0129,0.00293,-0.01056,-0.00959,-0.00102
2004-04-30,0,0.02055,3.732,0.02286,0.00269,0.0303,0.00437,-0.00176
2004-05-31,0,-0.03619,3.708,0.00474,0.00267,-0.06143,-0.01866,-0.00194
2004-06-30,0,-0.01004,3.912,-0.011,0.00284,-0.03782,-0.02537,0.004
2004-07-31,0,-0.02873,4.326,-0.02542,0.00319,-0.02076,-0.02376,-0.00065
2004-08-31,0,0.00507,4.869,-0.03389,0.00364,0.04811,0.0014,0.00195
2004-09-30,0,0.00168,4.879,0.00334,0.00365,-0.01997,-0.00608,0.00084
2004-10-31,0,-0.00455,4.926,0.00084,0.00369,-0.00598,-0.00604,0.00152
2004-11-30,0,-0.02064,5.311,-0.02259,0.00401,-0.02171,-0.01153,0.00179
2004-12-31,0,0.00736,5.338,0.0026,0.00403,-0.01354,-0.01223,0.00287
2005-01-31,0,0.0152,5.259,0.00991,0.00397,-0.00878,-0.01102,0.00353
2005-02-28,0,0.02495,5.189,0.00925,0.00391,0.02271,0.00078,0.00313
2005-03-31,0,-0.01521,5.014,0.01643,0.00376,-0.00069,0.00027,0.00168
2005-04-30,0,-0.03008,5.127,-0.00367,0.00386,-0.03578,-0.01235,0.00266
2005-05-31,0,0.00835,4.721,0.03236,0.00352,0.0008,-0.00775,0.00346
2005-06-30,0,0.06312,4.732,0.00316,0.00353,0.06782,0.0187,0.00531
2005-07-31,0,0.05294,4.844,-0.00379,0.00362,0.08886,0.04326,0.0024
2005-08-31,0,0.04561,5.003,-0.007,0.00375,0.05184,0.04626,0.00221
2005-09-30,0,0.02999,4.971,0.0064,0.00373,-0.00639,0.02783,0.00199
2005-10-31,0,0.02151,5.199,-0.0116,0.00392,0.01469,0.02323,-0.00096
2005-11-30,0,0.01268,5.162,0.0069,0.00388,0.00878,0.01817,-0.00098
2005-12-31,0,0.00489,5.195,0.00197,0.00391,0.01185,0.01596,0.00355
2006-01-31,0,0.05586,5.192,0.00456,0.00391,0.04742,0.02697,0.00402
2006-02-28,0,0.02104,4.871,0.02655,0.00364,0.04304,0.0326,0.0006
2006-03-31,0,0.02968,5.013,-0.00579,0.00376,0.05889,0.0418,-0.00123
2006-04-30,0,0.01281,5.159,-0.00589,0.00388,0.00046,0.02733,0.00353
2006-05-31,0,0.01237,4.926,0.02042,0.00369,-0.02133,0.0103,-0.0011
2006-06-30,0,0.09416,5.061,-0.00523,0.0038,0.13996,0.05568,0.00087
2006-07-31,0,0.07259,5.399,-0.0192,0.00408,0.07536,0.06257,0.0038
2006-08-31,0,0.00242,5.224,0.01662,0.00394,0.0218,0.0483,0.00349
2006-09-30,0,-0.00538,5.247,0.00274,0.00396,0.00894,0.03452,0.00448
2006-10-31,0,0.03884,5.097,0.01474,0.00383,0.01062,0.02616,0.0004
2006-11-30,1,0.00361,5.281,-0.00849,0.00398,-0.0002,0.01693,0.00253
2006-12-31,1,0.05765,5.109,0.01635,0.00384,0.09447,0.04407,0.00426
2007-01-31,1,0.06728,4.839,0.0229,0.00362,0.06642,0.05189,0.00407
2007-02-28,0,-0.00615,4.826,0.00492,0.00361,-0.01759,0.02757,0.00377
2007-03-31,0,-0.04372,4.847,0.00257,0.00362,-0.06347,-0.00429,0.00172
2007-04-30,0,-0.00462,4.894,0.00082,0.00366,0.00676,-0.00042,-0.00049
2007-05-31,0,-0.00166,5.098,-0.01006,0.00383,-0.01545,-0.00568,0.00175
2007-06-30,0,0.02832,4.997,0.01127,0.00375,0.01404,0.00122,0.00359
2007-07-31,0,-0.00312,4.873,0.01273,0.00364,0.00948,0.00411,-0.00129
2007-08-31,0,-0.00926,4.759,0.01193,0.00355,-0.00474,0.00101,0.00386
2007-09-30,0,-0.02213,4.751,0.00449,0.00354,-0.0129,-0.00386,0.0018
2007-10-31,0,0.06945,4.634,0.01208,0.00344,0.06518,0.02031,0.00199
2007-11-30,0,0.02765,4.56,0.00896,0.00338,0.00763,0.01587,0.00138
2007-12-31,0,0.01966,4.348,0.01851,0.00321,0.06127,0.03176,0.00501
2008-01-31,0,0.06407,4.436,-0.0025,0.00328,0.07537,0.04702,0.00623
2008-02-29,0,-0.01539,4.489,6e-05,0.00332,-0.00924,0.02733,0.00117
2008-03-31,1,-0.01681,4.28,0.0182,0.00315,-0.00992,0.01429,-5e-05
2008-04-30,1,-0.02428,4.211,0.0083,0.00309,-0.01812,0.00295,0.00496
2008-05-31,1,0.01209,4.05,0.01466,0.00296,0.01753,0.00805,0.00524
2008-06-30,0,0.02638,4.03,0.00476,0.00294,0.03396,0.01712,0.00171
2008-07-31,0,-0.03625,3.803,0.01904,0.00275,-0.0333,-0.00053,0.0002
2008-08-31,0,0.03619,4.069,-0.0152,0.00297,0.04698,0.0161,-0.00063
2008-09-30,0,-0.02761,4.191,-0.00503,0.00308,-0.04778,-0.00626,0.00082
2008-10-31,0,0.00014,3.938,0.02098,0.00286,0.01659,0.00174,0.00343
2008-11-30,0,0.00614,3.758,0.01572,0.00271,0.00687,0.00354,0.0014
2008-12-31,0,0.01232,3.808,-0.00033,0.00276,0.00995,0.00578,0.00518
2009-01-31,0,-0.00177,3.525,0.02274,0.00252,0.00753,0.00639,-0.00091
2009-02-28,0,-0.01971,3.742,-0.01209,0.0027,-0.03524,-0.00818,0.00026
2009-03-31,0,0.02223,3.847,-0.0041,0.00279,0.0252,0.0035,-0.00133
2009-04-30,0,0.01782,3.836,0.00393,0.00278,0.04505,0.01805,0.00114
2009-05-31,0,-0.01929,4.008,-0.00869,0.00292,-0.02573,0.00272,0.00129
2009-06-30,0,0.02853,4.267,-0.01456,0.00314,0.02703,0.01123,-0.00071
2009-07-31,0,-0.00015,4.15,0.01163,0.00304,-0.02779,-0.00243,0.00078
2009-08-31,0,-0.00101,4.412,-0.01463,0.00326,-0.00437,-0.00311,0.00303
2009-09-30,0,0.02769,4.693,-0.01577,0.00349,0.0316,0.00904,0.00441
2009-10-31,0,0.01795,4.534,0.01489,0.00336,0.03439,0.01791,0.00688
2009-11-30,0,0.08038,4.704,-0.00802,0.0035,0.10167,0.04723,0.00383
2009-12-31,0,0.00093,4.67,0.0063,0.00348,-0.00063,0.03048,0.00234
2010-01-31,0,0.01504,4.748,-0.0015,0.00354,-0.01433,0.01479,0.00369
2010-02-28,0,-0.02412,4.77,0.00241,0.00356,-0.02412,0.00118,0.0
2010-03-31,0,0.01331,4.601,0.0157,0.00342,0.0138,0.00559,0.00387
2010-04-30,0,0.04357,4.803,-0.01015,0.00359,0.05175,0.02175,-3e-05
2010-05-31,0,-0.00847,4.974,-0.00785,0.00373,-0.02763,0.00446,0.00184
2010-06-30,0,-0.01659,4.873,0.01119,0.00364,0.00564,0.00488,-0.0003
2010-07-31,0,0.00579,4.948,-0.00115,0.00371,-0.00463,0.00155,0.0013
2010-08-31,0,0.01458,5.074,-0.00459,0.00381,0.01849,0.00748,0.00016
2010-09-30,0,0.03968,5.259,-0.00856,0.00397,0.0154,0.01025,0.0006
2010-10-31,0,-0.00452,5.454,-0.00915,0.00413,-0.00317,0.00555,0.00254
2010-11-30,0,0.0434,5.977,-0.03161,0.00456,0.06293,0.02564,0.00142
2010-12-31,0,0.01832,5.693,0.0246,0.00433,0.02356,0.02491,0.00094
2011-01-31,0,-0.13511,5.642,0.00828,0.00429,-0.15741,-0.0389,0.00258
2011-02-28,0,-0.04851,5.5,0.01454,0.00417,-0.0577,-0.04548,0.00232
2011-03-31,0,-0.01225,5.252,0.02173,0.00396,0.01124,-0.02563,-0.00073
2011-04-30,0,0.01068,5.175,0.00971,0.0039,-0.04892,-0.03378,0.00373
2011-05-31,1,-0.14057,5.04,0.01364,0.00378,-0.1537,-0.07575,0.00356
2011-06-30,1,-0.00399,5.156,-0.00378,0.00388,-0.00667,-0.05157,0.00524
2011-07-31,1,-0.07093,4.819,0.02755,0.0036,-0.05759,-0.05368,0.00308
2011-08-31,0,-0.01312,4.45,0.02959,0.00329,-0.00831,-0.0378,0.00381
2011-09-30,0,0.08205,4.564,-0.00423,0.00339,0.11887,0.01703,0.00318
2011-10-31,0,-0.03622,4.167,0.03127,0.00306,-0.01095,0.00724,0.00078
2011-11-30,0,0.01439,4.068,0.01034,0.00297,-0.03053,-0.00598,0.00301
2011-12-31,1,-0.01565,3.828,0.01996,0.00277,-0.01849,-0.01036,0.00352
2012-01-31,1,-0.08692,3.872,0.00018,0.00281,-0.05661,-0.02655,0.00134
2012-02-29,0,0.04718,3.945,-0.00184,0.00287,0.03758,-0.0041,0.00063
2012-03-31,0,-0.00268,3.78,0.01472,0.00273,-0.01503,-0.00792,0.00228
2012-04-30,0,-0.02152,3.682,0.00994,0.00265,-0.01986,-0.0121,0.0045
2012-05-31,0,0.02739,3.532,0.01342,0.00253,-0.00544,-0.00977,0.00272
2012-06-30,0,0.02704,3.213,0.025,0.00226,0.04793,0.01042,-0.00013
2012-07-31,0,0.00192,3.03,0.01531,0.00211,0.00835,0.0097,0.00298
2012-08-31,0,0.01478,3.215,-0.01028,0.00226,-0.02668,-0.00303,0.00027
2012-09-30,0,-0.00219,2.935,0.02205,0.00203,0.01535,0.0034,0.00156
