# 가상 데이터 — BAF.60080 연기금 운용전략과 성과평가 강의용. 실제 기관·개인의 자료가 아니다.
# 가상 기금 KFP. 2022년은 동반 하락 국면으로 설정했다. 실제 시장 수익률로 교체하면 더 정확하다
분기,부서,자산군,실제비중_%,목표비중_%,분기수익률_%,부서초과_%
2022-Q4,주식,신흥주식,11.72,10,-13.509,-0.967
2022-Q4,채권,국내채권,17.82,18,1.374,3.405
2022-Q4,채권,해외채권,10.69,10,-10.229,-1.194
2022-Q4,채권,크레딧,7.41,7,-2.373,0.886
2022-Q4,대체,부동산,7.21,7,2.305,-0.334
2022-Q4,대체,인프라,5.71,6,-5.338,-0.959
2022-Q4,대체,사모주식,7.81,7,1.717,-1.082
2022-Q4,오버레이,통화헤지,0.0,0,-8.045,-2.398
2023-Q1,주식,국내주식,11.03,12,-2.282,-0.051
2023-Q1,주식,해외선진주식,23.42,23,1.439,-1.021
2023-Q1,주식,신흥주식,10.19,10,-1.375,0.644
2023-Q1,채권,국내채권,17.92,18,13.187,2.06
2023-Q1,채권,해외채권,9.54,10,-3.319,-1.026
2023-Q1,채권,크레딧,6.64,7,3.733,0.79
2023-Q1,대체,부동산,7.53,7,5.098,0.706
2023-Q1,대체,인프라,6.42,6,-7.105,1.506
2023-Q1,대체,사모주식,6.44,7,10.529,-0.144
2023-Q1,오버레이,통화헤지,0.0,0,6.459,0.442
2023-Q2,주식,국내주식,12.35,12,-5.041,-1.524
2023-Q2,주식,해외선진주식,23.78,23,1.555,2.233
2023-Q2,주식,신흥주식,9.75,10,-3.52,-1.365
2023-Q2,채권,국내채권,16.02,18,-2.183,1.02
2023-Q2,채권,해외채권,10.33,10,5.178,2.21
2023-Q2,채권,크레딧,7.16,7,-3.46,-0.078
2023-Q2,대체,부동산,6.93,7,1.968,-1.213
2023-Q2,대체,인프라,6.27,6,0.851,0.558
2023-Q2,대체,사모주식,7.33,7,5.616,0.317
2023-Q2,오버레이,통화헤지,0.0,0,5.888,0.696
2023-Q3,주식,국내주식,11.68,12,4.05,-1.352
2023-Q3,주식,해외선진주식,21.78,23,-2.896,0.229
2023-Q3,주식,신흥주식,9.94,10,3.17,0.877
2023-Q3,채권,국내채권,17.74,18,-1.735,0.409
2023-Q3,채권,해외채권,10.02,10,4.275,0.559
2023-Q3,채권,크레딧,6.49,7,6.42,0.417
2023-Q3,대체,부동산,7.31,7,18.426,2.473
2023-Q3,대체,인프라,6.15,6,8.771,2.73
2023-Q3,대체,사모주식,7.38,7,-1.632,-1.745
2023-Q3,오버레이,통화헤지,0.0,0,1.636,1.591
2023-Q4,주식,국내주식,12.62,12,5.278,1.154
2023-Q4,주식,해외선진주식,25.07,23,-2.788,1.406
2023-Q4,주식,신흥주식,10.61,10,12.893,0.185
2023-Q4,채권,국내채권,20.25,18,9.423,2.41
2023-Q4,채권,해외채권,9.75,10,1.238,0.266
2023-Q4,채권,크레딧,7.18,7,3.297,0.452
2023-Q4,대체,부동산,7.17,7,-9.091,-0.354
2023-Q4,대체,인프라,5.76,6,3.765,-0.869
2023-Q4,대체,사모주식,6.67,7,4.229,1.676
2023-Q4,오버레이,통화헤지,0.0,0,4.001,-0.15
2024-Q1,주식,국내주식,12.39,12,-1.108,1.352
2024-Q1,주식,해외선진주식,23.79,23,5.385,0.226
2024-Q1,주식,신흥주식,11.22,10,2.137,1.289
2024-Q1,채권,국내채권,15.72,18,0.184,-0.387
2024-Q1,채권,해외채권,9.99,10,7.167,1.582
2024-Q1,채권,크레딧,6.66,7,2.144,0.647
2024-Q1,대체,부동산,6.83,7,5.091,1.099
2024-Q1,대체,인프라,6.82,6,-2.276,-1.283
2024-Q1,대체,사모주식,6.81,7,1.279,-1.217
2024-Q1,오버레이,통화헤지,0.0,0,-3.779,0.867
2024-Q2,주식,국내주식,12.62,12,-5.26,-1.448
2024-Q2,주식,해외선진주식,22.9,23,0.467,-0.229
2024-Q2,주식,신흥주식,9.57,10,2.231,-1.039
2024-Q2,채권,국내채권,18.17,18,-1.236,-0.689
2024-Q2,채권,해외채권,10.61,10,-1.421,-0.393
2024-Q2,채권,크레딧,6.47,7,-7.032,0.352
2024-Q2,대체,부동산,6.83,7,5.472,-3.069
2024-Q2,대체,인프라,6.37,6,-2.8,-0.489
2024-Q2,대체,사모주식,6.86,7,1.689,-0.067
2024-Q2,오버레이,통화헤지,0.0,0,1.867,0.46
2024-Q3,주식,국내주식,11.53,12,-2.734,-0.03
2024-Q3,주식,해외선진주식,21.65,23,7.41,-1.117
2024-Q3,주식,신흥주식,10.72,10,-11.626,0.039
2024-Q3,채권,국내채권,19.38,18,-4.173,0.212
2024-Q3,채권,해외채권,10.15,10,5.327,2.433
2024-Q3,채권,크레딧,6.91,7,2.295,1.158
2024-Q3,대체,부동산,7.61,7,1.845,0.382
2024-Q3,대체,인프라,6.08,6,1.927,0.917
2024-Q3,대체,사모주식,6.59,7,7.72,0.154
2024-Q3,오버레이,통화헤지,0.0,0,-10.812,0.364
2024-Q4,주식,국내주식,10.24,12,4.619,0.211
2024-Q4,주식,해외선진주식,22.28,23,-4.585,-1.228
2024-Q4,주식,신흥주식,9.62,10,2.499,-0.293
2024-Q4,채권,국내채권,16.84,18,-7.672,-1.743
2024-Q4,채권,해외채권,9.89,10,3.461,-1.16
2024-Q4,채권,크레딧,6.98,7,8.642,1.15
2024-Q4,대체,부동산,7.04,7,-0.045,-1.018
2024-Q4,대체,인프라,6.02,6,1.373,2.185
2024-Q4,대체,사모주식,7.12,7,2.064,-3.518
2024-Q4,오버레이,통화헤지,0.0,0,-1.609,-0.443
2025-Q1,주식,국내주식,12.41,12,-4.927,2.324
2025-Q1,주식,해외선진주식,21.18,23,-0.229,0.707
2025-Q1,주식,신흥주식,9.48,10,9.916,-0.18
2025-Q1,채권,국내채권,17.54,18,5.492,-0.012
2025-Q1,채권,해외채권,10.7,10,1.452,-0.491
2025-Q1,채권,크레딧,7.0,7,-0.699,-1.039
2025-Q1,대체,부동산,6.62,7,2.268,0.948
2025-Q1,대체,인프라,6.46,6,13.888,-0.672
2025-Q1,대체,사모주식,7.07,7,0.363,0.525
2025-Q1,오버레이,통화헤지,0.0,0,5.646,1.34
2025-Q2,주식,국내주식,12.51,12,-4.911,-0.945
2025-Q2,주식,해외선진주식,22.85,23,-3.552,-0.612
2025-Q2,주식,신흥주식,10.38,10,3.26,-0.804
2025-Q2,채권,국내채권,18.54,18,2.877,0.092
2025-Q2,채권,해외채권,9.91,10,0.031,1.413
2025-Q2,채권,크레딧,7.67,7,2.057,0.038
2025-Q2,대체,부동산,6.68,7,4.895,1.604
2025-Q2,대체,인프라,5.86,6,2.967,0.396
2025-Q2,대체,사모주식,6.58,7,7.666,0.351
2025-Q2,오버레이,통화헤지,0.0,0,-16.935,-1.419
2025-Q3,주식,국내주식,12.77,12,-4.839,-0.704
2025-Q3,주식,해외선진주식,22.32,23,4.337,-0.922
2025-Q3,주식,신흥주식,10.22,10,8.076,1.57
2025-Q3,채권,국내채권,16.69,18,3.973,0.425
2025-Q3,채권,해외채권,9.75,10,7.112,-0.805
2025-Q3,채권,크레딧,6.42,7,-3.524,0.213
2025-Q3,대체,부동산,7.12,7,0.363,-1.352
2025-Q3,대체,인프라,5.57,6,-6.768,-0.263
2025-Q3,대체,사모주식,7.51,7,0.218,-0.309
2025-Q3,오버레이,통화헤지,0.0,0,-0.52,-1.026
2025-Q4,주식,국내주식,12.13,12,0.459,-0.505
2025-Q4,주식,해외선진주식,23.76,23,-5.992,-0.949
2025-Q4,주식,신흥주식,10.21,10,1.961,-0.003
2025-Q4,채권,국내채권,17.93,18,2.688,-0.339
2025-Q4,채권,해외채권,10.63,10,-3.83,-2.087
2025-Q4,채권,크레딧,6.73,7,-1.393,-1.023
2025-Q4,대체,부동산,6.85,7,8.253,-1.589
2025-Q4,대체,인프라,5.92,6,-3.837,-1.361
2025-Q4,대체,사모주식,6.82,7,9.034,0.762
2025-Q4,오버레이,통화헤지,0.0,0,5.252,1.586
